File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type,
Bd_D14_A1_live,267,14,Green,,A1,B,Broth,Non-autoclaved,10^3,
Bd_D14_A1_dead,9.5,14,Red,,A1,B,Broth,Non-autoclaved,10^3,
Bd_D14_A2_dead,1,14,Red,,A2,B,Broth,Non-autoclaved,10^3,
Bd_D14_A2_live,0,14,Green,,A2,B,Broth,Non-autoclaved,10^3,
Bd_D14_A3_dead,0.5,14,Red,,A3,B,Broth,Non-autoclaved,10^3,
Bd_D14_A3_live,0,14,Green,,A3,B,Broth,Non-autoclaved,10^3,
Bd_D14_A4_dead,3,14,Red,,A4,B,Broth,Non-autoclaved,10^5,
Bd_D14_A4_live,129,14,Green,,A4,B,Broth,Non-autoclaved,10^5,
Bd_D14_A5_dead,0,14,Red,,A5,B,Broth,Non-autoclaved,10^5,
Bd_D14_A5_live,6,14,Green,,A5,B,Broth,Non-autoclaved,10^5,
Bd_D14_A6_dead,4,14,Red,,A6,B,Broth,Non-autoclaved,10^5,
Bd_D14_A6_live,5.5,14,Green,,A6,B,Broth,Non-autoclaved,10^5,
Bd_D14_A7_dead,0,14,Red,,A7,B,Broth,Autoclaved,10^3,
Bd_D14_A7_live,0,14,Green,,A7,B,Broth,Autoclaved,10^3,
Bd_D14_A8_dead,0,14,Red,,A8,B,Broth,Autoclaved,10^3,
Bd_D14_A8_live,0,14,Green,,A8,B,Broth,Autoclaved,10^3,
Bd_D14_A9_dead,0,14,Red,,A9,B,Broth,Autoclaved,10^3,
Bd_D14_A9_live,0,14,Green,,A9,B,Broth,Autoclaved,10^3,
Bd_D14_A10_dead,4,14,Red,,A10,B,Broth,Autoclaved,10^5,
Bd_D14_A10_live,933,14,Green,,A10,B,Broth,Autoclaved,10^5,
Bd_D14_A11_dead,5,14,Red,,A11,B,Broth,Autoclaved,10^5,
Bd_D14_A11_live,945,14,Green,,A11,B,Broth,Autoclaved,10^5,
Bd_D14_A12_dead,4,14,Red,,A12,B,Broth,Autoclaved,10^5,
Bd_D14_A12_live,1192,14,Green,,A12,B,Broth,Autoclaved,10^5,
Bd_D14_B1_dead,22,14,Red,,B1,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B1_live,1385,14,Green,,B1,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B2_dead,183.5,14,Red,,B2,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B2_live,2228.5,14,Green,,B2,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B3_dead,23.5,14,Red,,B3,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B3_live,1208.5,14,Green,,B3,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D14_B4_dead,39,14,Red,,B4,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B4_live,1442,14,Green,,B4,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B5_dead,47,14,Red,,B5,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B5_live,1012,14,Green,,B5,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B6_dead,17,14,Red,,B6,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B6_live,1215.5,14,Green,,B6,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D14_B7_dead,7,14,Red,,B7,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B7_live,222.5,14,Green,,B7,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B8_dead,5,14,Red,,B8,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B8_live,157.5,14,Green,,B8,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B9_dead,7,14,Red,,B9,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B9_live,33,14,Green,,B9,FD,Fontana Dam,Autoclaved,10^3,
Bd_D14_B10_dead,18,14,Red,,B10,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_B10_live,24,14,Green,,B10,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_B11_dead,16,14,Red,,B11,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_B11_live,64.5,14,Green,,B11,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_B12_dead,6,14,Red,,B12,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_B12_live ,107,14,Green,,B12,FD,Fontana Dam,Autoclaved,10^5,
Bd_D14_C1_dead,31,14,Red,,C1,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D14_C1_live,1172.5,14,Green,,C1,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D14_C2_dead,11,14,Red,,C2,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D14_C2_live,189,14,Green,,C2,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D14_C3_dead,4,14,Red,,C3,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D14_C3_live,369,14,Green,,C3,NG,Newfound Gap,Non-autoclaved,10^3,used Natalie's count
Bd_D14_C4_dead,12,14,Red,,C4,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C4_live,1220,14,Green,,C4,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C5_dead,5.5,14,Red,,C5,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C5_live,1092.5,14,Green,,C5,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C6_dead,7,14,Red,,C6,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C6_live,404,14,Green,,C6,NG,Newfound Gap,Non-autoclaved,10^5,
Bd_D14_C7_dead,0,14,Red,,C7,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C7_live,64,14,Green,,C7,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C8_dead,6,14,Red,,C8,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C8_live,16,14,Green,,C8,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C9_dead,10,14,Red,,C9,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C9_live,23,14,Green,,C9,NG,Newfound Gap,Autoclaved,10^3,
Bd_D14_C10_dead,7,14,Red,,C10,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_C10_live,4,14,Green,,C10,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_C11_dead,10,14,Red,,C11,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_C11_live,19,14,Green,,C11,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_C12_dead,5.5,14,Red,,C12,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_C12_live,15,14,Green,,C12,NG,Newfound Gap,Autoclaved,10^5,
Bd_D14_D1_dead,219,14,Red,,D1,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D14_D1_live,956.5,14,Green,,D1,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D14_D2_dead,83,14,Red,,D2,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D14_D2_live,977,14,Green,,D2,CD,Clingman's Dome,Non-autoclaved,10^3,used Natalie's count
Bd_D14_D3_dead,227,14,Red,,D3,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D14_D3_live,894.5,14,Green,,D3,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D14_D4_dead,29.5,14,Red,,D4,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D4_live,1013,14,Green,,D4,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D5_dead,123,14,Red,,D5,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D5_live,991,14,Green,,D5,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D6_dead,111,14,Red,,D6,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D6_live,1172.5,14,Green,,D6,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D14_D7_dead,30,14,Red,,D7,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D7_live,232,14,Green,,D7,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D8_dead,75,14,Red,,D8,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D8_live,174,14,Green,,D8,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D9_dead,96,14,Red,,D9,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D9_live,243.5,14,Green,,D9,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D14_D10_dead,3,14,Red,,D10,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_D10_live,89,14,Green,,D10,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_D11_dead,64,14,Red,,D11,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_D11_live,121.5,14,Green,,D11,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_D12_dead,34,14,Red,,D12,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_D12_live,104.5,14,Green,,D12,CD,Clingman's Dome,Autoclaved,10^5,
Bd_D14_E1_dead,142.5,14,Red,,E1,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E1_live,1352,14,Green,,E1,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E2_dead,195.5,14,Red,,E2,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E2_live,1005,14,Green,,E2,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E3_dead,203.5,14,Red,,E3,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E3_live,1503,14,Green,,E3,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D14_E4_dead,582,14,Red,,E4,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E4_live,1584,14,Green,,E4,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E5_dead,188,14,Red,,E5,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E5_live,1494,14,Green,,E5,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E6_dead,218,14,Red,,E6,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E6_live,433.5,14,Green,,E6,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D14_E7_dead,60,14,Red,,E7,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E7_live,327.5,14,Green,,E7,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E8_dead,281,14,Red,,E8,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E8_live,434,14,Green,,E8,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E9_dead,93,14,Red,,E9,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E9_live,213,14,Green,,E9,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E10_dead,374.5,14,Red,,E10,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E10_live,223.5,14,Green,,E10,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E11_dead,308.5,14,Red,,E11,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E11_live,180.5,14,Green,,E11,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E12_dead,166,14,Red,,E12,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E12_live,131.5,14,Green,,E12,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_F1_dead,224,14,Red,,F1,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F1_live,1402.5,14,Green,,F1,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F2_dead,504.5,14,Red,,F2,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F2_live,1419.5,14,Green,,F2,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F3_dead,415.5,14,Red,,F3,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F3_live,1561.5,14,Green,,F3,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F4_dead,234.5,14,Red,,F4,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F4_live,1671.5,14,Green,,F4,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F5_dead,78.5,14,Red,,F5,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F5_live,1694,14,Green,,F5,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F6_dead,319.5,14,Red,,F6,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F6_live,1531,14,Green,,F6,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F7_dead,42.5,14,Red,,F7,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F7_live,833,14,Green,,F7,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F8_dead,68.5,14,Red,,F8,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F8_live,251,14,Green,,F8,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F9_dead,22,14,Red,,F9,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F9_live,39.5,14,Green,,F9,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F10_dead,192.5,14,Red,,F10,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F10_live,776.5,14,Green,,F10,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F11_dead,340,14,Red,,F11,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F11_live,898.5,14,Green,,F11,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F12_dead,233,14,Red,,F12,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F12_live,573,14,Green,,F12,DG,Davenport Gap,Autoclaved,10^5,
